County,Year,PCTGOP
Saline,2012,51.57321501
Sarpy,2012,60.44621625
Saunders,2012,65.65166796
Scotts Bluff,2012,67.52992231
Seward,2012,66.06364717
Sheridan,2012,81.75566343
Sherman,2012,60.58823529
Sioux,2012,84.43843031
Stanton,2012,73.71406959
Thayer,2012,70.47762317
Thomas,2012,88.23529412
Thurston,2012,42.39277652
Valley,2012,75.48974943
Washington,2012,67.3335936
Wayne,2012,67.70776752
Webster,2012,72.21584386
Wheeler,2012,77.00892857
York,2012,76.69551534
Adams,2008,62.4678274
Antelope,2008,74.81946625
Arthur,2008,82.5095057
Banner,2008,83.65384615
Blaine,2008,84.17721519
Boone,2008,72.00282087
Box Butte,2008,58.88732677
Boyd,2008,75.58558559
Brown,2008,77.08998086
Buffalo,2008,67.88472503
Burt,2008,56.30351343
Butler,2008,66.60588695
Cass,2008,58.73618215
Cedar,2008,69.76521322
Chase,2008,80.09761388
Cherry,2008,77.14939523
Cheyenne,2008,73.81690432
Clay,2008,71.77711836
Colfax,2008,63.00343428
Cuming,2008,66.84609738
Custer,2008,77.10648978
Dakota,2008,51.46966854
Dawes,2008,62.94039735
Dawson,2008,68.36964688
Deuel,2008,73.71601208
Dixon,2008,63.8869005
Dodge,2008,55.02893891
Douglas,2008,46.88598639
Dundy,2008,76.84003925
Fillmore,2008,64.91347133
Franklin,2008,69.52319588
Frontier,2008,73.64672365
Furnas,2008,74.09793814
Gage,2008,53.49409449
Garden,2008,74.16520211
Garfield,2008,77.66990291
Gosper,2008,74.04580153
Grant,2008,86.64850136
Greeley,2008,59.63302752
Hall,2008,61.00794509
Hamilton,2008,70.61887893
Harlan,2008,75.25481314
Hayes,2008,83.36347197
Hitchcock,2008,72.58883249
Holt,2008,75.31162043
Hooker,2008,81.05022831
Howard,2008,61.64886515
Jefferson,2008,56.88395997
Johnson,2008,54.12322275
Kearney,2008,70.6031746
Keith,2008,74.14314516
Keya Paha,2008,76.73545966
Kimball,2008,74.32357813
Knox,2008,66.79725759
Lancaster,2008,46.59032081
Lincoln,2008,66.45573509
Logan,2008,78.60576923
Loup,2008,76.84478372
Madison,2008,68.74332503
McPherson,2008,81.9112628
Merrick,2008,69.22180122
Morrill,2008,73.37303275
Nance,2008,65.37785589
Nemaha,2008,61.42774899
Nuckolls,2008,67.4470959
Otoe,2008,56.86689227
Pawnee,2008,62.06647399
Perkins,2008,76.90140845
Phelps,2008,75.11737089
Pierce,2008,73.93056417
Platte,2008,69.84351714
Polk,2008,71.64766024
Red Willow,2008,74.04837431
Richardson,2008,59.02217742
Rock,2008,79.90012484
Saline,2008,46.3530756
Sarpy,2008,57.06389109
Saunders,2008,60.59537799
Scotts Bluff,2008,65.90631365
Seward,2008,61.72134414
Sheridan,2008,78.83834281
Sherman,2008,60.43256997
Sioux,2008,82.37704918
Stanton,2008,71.38276553
Thayer,2008,65.77660775
Thomas,2008,84.87179487
Thurston,2008,45.71966134
Valley,2008,68.38629798
Washington,2008,62.25775194
Wayne,2008,65.73004202
Webster,2008,67.85910842
Wheeler,2008,75.90909091
York,2008,73.81242387
Adams,2004,65.62148255
Antelope,2004,76.06888361
Arthur,2004,86.39705882
Banner,2004,84.41558442
Blaine,2004,85.67335244
Boone,2004,76.72955975
Box Butte,2004,63.03792494
Boyd,2004,74.95974235
Brown,2004,81.65083135
Buffalo,2004,72.48040824
Burt,2004,60.61320755
Butler,2004,68.91327064
Cass,2004,59.76653696
Cedar,2004,70.01639728
Chase,2004,80.26666667
Cherry,2004,81.55953635
Cheyenne,2004,76.61251792
Clay,2004,72.34836703
Colfax,2004,70.52790347
Cuming,2004,76.67852906
Custer,2004,78.40783155
Dakota,2004,51.46015509
Dawes,2004,70.39491853
Dawson,2004,73.41148262
Deuel,2004,75.79864472
Dixon,2004,65.68767908
Dodge,2004,61.29767828
Douglas,2004,55.15789819
Dundy,2004,79.22848665
Fillmore,2004,67.51167445
Franklin,2004,71.70263789
Frontier,2004,79.10983489
Furnas,2004,76.05923488
Gage,2004,58.25794235
Garden,2004,78.99917966
Garfield,2004,74.55867082
Gosper,2004,74.65483235
Grant,2004,84.15584416
Greeley,2004,64.04580153
Hall,2004,63.64175563
Hamilton,2004,72.38922289
Harlan,2004,73.32613391
Hayes,2004,85.11383538
Hitchcock,2004,76.08108108
Holt,2004,79.7338173
Hooker,2004,77.50611247
Howard,2004,62.25680934
Jefferson,2004,61.11255524
Johnson,2004,57.29166667
Kearney,2004,74.72773863
Keith,2004,76.72122629
Keya Paha,2004,82.26120858
Kimball,2004,75.76923077
Knox,2004,69.98491704
Lancaster,2004,51.81831759
Lincoln,2004,61.00304354
Logan,2004,81.55339806
Loup,2004,75.13227513
Madison,2004,74.97082393
McPherson,2004,81.06312292
Merrick,2004,71.25748503
Morrill,2004,74.69597755
Nance,2004,66.36636637
Nemaha,2004,64.61858118
Nuckolls,2004,69.62750716
Otoe,2004,62.71389973
Pawnee,2004,61.68531929
Perkins,2004,80.5785124
Phelps,2004,77.26388589
Pierce,2004,78.99002494
Platte,2004,76.68558986
Polk,2004,73.67011098
Red Willow,2004,73.23383085
Richardson,2004,63.20481928
Rock,2004,81.09619687
Saline,2004,50.16520894
Sarpy,2004,64.00238526
Saunders,2004,63.77396569
Scotts Bluff,2004,67.90230508
Seward,2004,63.52622577
Sheridan,2004,81.71583851
Sherman,2004,62.87390029
Sioux,2004,83.64361702
Stanton,2004,76.22687047
Thayer,2004,69.72721224
Thomas,2004,83.29113924
Thurston,2004,49.95196926
Valley,2004,71.14449845
Washington,2004,66.75168096
Wayne,2004,70.40609137
Webster,2004,66.94087404
Wheeler,2004,77.48344371
York,2004,74.55108359
Adams,2000,65.62148255
Antelope,2000,76.06888361
Arthur,2000,86.39705882
Banner,2000,84.41558442
Blaine,2000,85.67335244
Boone,2000,76.72955975
Box Butte,2000,63.03792494
Boyd,2000,74.95974235
Brown,2000,81.65083135
Buffalo,2000,72.48040824
Burt,2000,60.61320755
Butler,2000,68.91327064
Cass,2000,59.76653696
Cedar,2000,70.01639728
Chase,2000,80.26666667
Cherry,2000,81.55953635
Cheyenne,2000,76.61251792
Clay,2000,72.34836703
Colfax,2000,70.52790347
Cuming,2000,76.67852906
Custer,2000,78.40783155
Dakota,2000,51.46015509
Dawes,2000,70.39491853
Dawson,2000,73.41148262
Deuel,2000,75.79864472
Dixon,2000,65.68767908
Dodge,2000,61.29767828
Douglas,2000,55.15789819
Dundy,2000,79.22848665
Fillmore,2000,67.51167445
Franklin,2000,71.70263789
Frontier,2000,79.10983489
Furnas,2000,76.05923488
Gage,2000,58.25794235
Garden,2000,78.99917966
Garfield,2000,74.55867082
Gosper,2000,74.65483235
Grant,2000,84.15584416
Greeley,2000,64.04580153
Hall,2000,63.64175563
Hamilton,2000,72.38922289
Harlan,2000,73.32613391
Hayes,2000,85.11383538
Hitchcock,2000,76.08108108
Holt,2000,79.7338173
Hooker,2000,77.50611247
Howard,2000,62.25680934
Jefferson,2000,61.11255524
Johnson,2000,57.29166667
Kearney,2000,74.72773863
Keith,2000,76.72122629
Keya Paha,2000,82.26120858
Kimball,2000,75.76923077
Knox,2000,69.98491704
Lancaster,2000,51.81831759
Lincoln,2000,61.00304354
Logan,2000,81.55339806
Loup,2000,75.13227513
Madison,2000,74.97082393
McPherson,2000,81.06312292
Merrick,2000,71.25748503
Morrill,2000,74.69597755
Nance,2000,66.36636637
Nemaha,2000,64.61858118
Nuckolls,2000,69.62750716
Otoe,2000,62.71389973
Pawnee,2000,61.68531929
Perkins,2000,80.5785124
Phelps,2000,77.26388589
Pierce,2000,78.99002494
Platte,2000,76.68558986
Polk,2000,73.67011098
Red Willow,2000,73.23383085
Richardson,2000,63.20481928
Rock,2000,81.09619687
Saline,2000,50.16520894
Sarpy,2000,64.00238526
Saunders,2000,63.77396569
Scotts Bluff,2000,67.90230508
Seward,2000,63.52622577
Sheridan,2000,81.71583851
Sherman,2000,62.87390029
Sioux,2000,83.64361702
Stanton,2000,76.22687047
Thayer,2000,69.72721224
Thomas,2000,83.29113924
Thurston,2000,49.95196926
Valley,2000,71.14449845
Washington,2000,66.75168096
Wayne,2000,70.40609137
Webster,2000,66.94087404
Wheeler,2000,77.48344371
York,2000,74.55108359
