County,Year,Party,Voters
Otoe,2008,Republican,5482 
Pawnee,2008,Republican,1067 
Perkins,2008,Republican,1313 
Phelps,2008,Republican,4252 
Pierce,2008,Republican,3252 
Platte,2008,Republican,11185 
Polk,2008,Republican,2268 
Red Willow,2008,Republican,4475 
Richardson,2008,Republican,3245 
Rock,2008,Republican,841 
Saline,2008,Republican,3002 
Sarpy,2008,Republican,43353 
Saunders,2008,Republican,7320 
Scotts Bluff,2008,Republican,12733 
Seward,2008,Republican,5824 
Sheridan,2008,Republican,2826 
Sherman,2008,Republican,955 
Sioux,2008,Republican,668 
Stanton,2008,Republican,2605 
Thayer,2008,Republican,2272 
Thomas,2008,Republican,391 
Thurston,2008,Republican,1324 
Valley,2008,Republican,1942 
Washington,2008,Republican,7629 
Wayne,2008,Republican,3338 
Webster,2008,Republican,1529 
Wheeler,2008,Republican,417 
York,2008,Republican,7287 
Adams,2004,Republican,10968 
Antelope,2004,Republican,3098 
Arthur,2004,Republican,253 
Banner,2004,Republican,472 
Blaine,2004,Republican,310 
Boone,2004,Republican,2420 
Box Butte,2004,Republican,4993 
Boyd,2004,Republican,1127 
Brown,2004,Republican,1821 
Buffalo,2004,Republican,15706 
Burt,2004,Republican,2899 
Butler,2004,Republican,3016 
Cass,2004,Republican,8685 
Cedar,2004,Republican,2929 
Chase,2004,Republican,1917 
Cherry,2004,Republican,3263 
Cheyenne,2004,Republican,4182 
Clay,2004,Republican,3021 
Colfax,2004,Republican,2666 
Cuming,2004,Republican,4136 
Custer,2004,Republican,5757 
Dakota,2004,Republican,3856 
Dawes,2004,Republican,3485 
Dawson,2004,Republican,7640 
Deuel,2004,Republican,1066 
Dixon,2004,Republican,2093 
Dodge,2004,Republican,10958 
Douglas,2004,Republican,133048 
Dundy,2004,Republican,995 
Fillmore,2004,Republican,2499 
Franklin,2004,Republican,1499 
Frontier,2004,Republican,1432 
Furnas,2004,Republican,2409 
Gage,2004,Republican,8102 
Garden,2004,Republican,1239 
Garfield,2004,Republican,971 
Gosper,2004,Republican,1092 
Grant,2004,Republican,388 
Greeley,2004,Republican,651 
Hall,2004,Republican,16586 
Hamilton,2004,Republican,4414 
Harlan,2004,Republican,1562 
Hayes,2004,Republican,614 
Hitchcock,2004,Republican,1231 
Holt,2004,Republican,5173 
Hooker,2004,Republican,520 
Howard,2004,Republican,2351 
Jefferson,2004,Republican,3126 
Johnson,2004,Republican,1637 
Kearney,2004,Republican,2902 
Keith,2004,Republican,3969 
Keya Paha,2004,Republican,565 
Kimball,2004,Republican,1927 
Knox,2004,Republican,3140 
Lancaster,2004,Republican,76547 
Lincoln,2004,Republican,12794 
Logan,2004,Republican,429 
Loup,2004,Republican,400 
Madison,2004,Republican,13358 
McPherson,2004,Republican,292 
Merrick,2004,Republican,3452 
Morrill,2004,Republican,2202 
Nance,2004,Republican,1232 
Nemaha,2004,Republican,2733 
Nuckolls,2004,Republican,1919 
Otoe,2004,Republican,5774 
Pawnee,2004,Republican,1184 
Perkins,2004,Republican,1335 
Phelps,2004,Republican,4574 
Pierce,2004,Republican,3197 
Platte,2004,Republican,11345 
Polk,2004,Republican,2336 
Red Willow,2004,Republican,4773 
Richardson,2004,Republican,3458 
Rock,2004,Republican,858 
Saline,2004,Republican,3177 
Sarpy,2004,Republican,41211 
Saunders,2004,Republican,6736 
Scotts Bluff,2004,Republican,13196 
Seward,2004,Republican,5770 
Sheridan,2004,Republican,3040 
Sherman,2004,Republican,1206 
Sioux,2004,Republican,759 
Stanton,2004,Republican,2760 
Thayer,2004,Republican,2344 
Thomas,2004,Republican,427 
Thurston,2004,Republican,1355 
Valley,2004,Republican,2096 
Washington,2004,Republican,7462 
Wayne,2004,Republican,3862 
Webster,2004,Republican,1543 
Wheeler,2004,Republican,417 
York,2004,Republican,7446 
Adams,2000,Republican,10405 
Antelope,2000,Republican,2937 
Arthur,2000,Republican,250 
Banner,2000,Republican,444 
Blaine,2000,Republican,334 
Boone,2000,Republican,2343 
Box Butte,2000,Republican,4625 
Boyd,2000,Republican,1202 
Brown,2000,Republican,1756 
Buffalo,2000,Republican,15119 
Burt,2000,Republican,2864 
Butler,2000,Republican,2486 
Cass,2000,Republican,7736 
Cedar,2000,Republican,2740 
Chase,2000,Republican,1813 
Cherry,2000,Republican,3076 
Cheyenne,2000,Republican,3998 
Clay,2000,Republican,2911 
Colfax,2000,Republican,2440 
Cuming,2000,Republican,4115 
Custer,2000,Republican,5618 
Dakota,2000,Republican,3621 
Dawes,2000,Republican,3426 
Dawson,2000,Republican,7412 
Deuel,2000,Republican,1012 
Dixon,2000,Republican,2123 
Dodge,2000,Republican,10866 
Douglas,2000,Republican,121384 
Dundy,2000,Republican,995 
Fillmore,2000,Republican,2399 
Franklin,2000,Republican,1517 
Frontier,2000,Republican,1382 
Furnas,2000,Republican,2436 
Gage,2000,Republican,7611 
Garden,2000,Republican,1300 
Garfield,2000,Republican,1009 
Gosper,2000,Republican,945 
Grant,2000,Republican,400 
Greeley,2000,Republican,651 
Hall,2000,Republican,16099 
Hamilton,2000,Republican,4030 
Harlan,2000,Republican,1576 
Hayes,2000,Republican,595 
Hitchcock,2000,Republican,1276 
Holt,2000,Republican,5151 
Hooker,2000,Republican,494 
Howard,2000,Republican,2190 
Jefferson,2000,Republican,3067 
Johnson,2000,Republican,1692 
Kearney,2000,Republican,2776 
Keith,2000,Republican,3734 
Keya Paha,2000,Republican,584 
Kimball,2000,Republican,1832 
Knox,2000,Republican,3058 
Lancaster,2000,Republican,69170 
Lincoln,2000,Republican,12021 
Logan,2000,Republican,432 
Loup,2000,Republican,369 
Madison,2000,Republican,12899 
McPherson,2000,Republican,287 
Merrick,2000,Republican,3332 
Morrill,2000,Republican,2314 
Nance,2000,Republican,1189 
Nemaha,2000,Republican,2754 
Nuckolls,2000,Republican,1907 
Otoe,2000,Republican,5401 
Pawnee,2000,Republican,1124 
Perkins,2000,Republican,1276 
Phelps,2000,Republican,4482 
Pierce,2000,Republican,3152 
Platte,2000,Republican,10463 
Polk,2000,Republican,2303 
Red Willow,2000,Republican,4589 
Richardson,2000,Republican,3434 
Rock,2000,Republican,871 
Saline,2000,Republican,3023 
Sarpy,2000,Republican,34977 
Saunders,2000,Republican,6278 
Scotts Bluff,2000,Republican,12558 
Seward,2000,Republican,5251 
Sheridan,2000,Republican,3008 
Sherman,2000,Republican,989 
Sioux,2000,Republican,758 
Stanton,2000,Republican,2760 
Thayer,2000,Republican,2447 
Thomas,2000,Republican,475 
Thurston,2000,Republican,1354 
Valley,2000,Republican,2012 
Washington,2000,Republican,7279 
Wayne,2000,Republican,3802 
Webster,2000,Republican,1545 
Wheeler,2000,Republican,360 
York,2000,Republican,7105 
Adams,2016,Democrat,5048 
Antelope,2016,Democrat,863 
Arthur,2016,Democrat,37 
Banner,2016,Democrat,38 
Blaine,2016,Democrat,43 
Boone,2016,Democrat,910 
Box Butte,2016,Democrat,1845 
Boyd,2016,Democrat,249 
Brown,2016,Democrat,252 
Buffalo,2016,Democrat,6487 
Burt,2016,Democrat,1446 
Butler,2016,Democrat,1593 
Cass,2016,Democrat,4647 
Cedar,2016,Democrat,1571 
Chase,2016,Democrat,373 
Cherry,2016,Democrat,568 
Cheyenne,2016,Democrat,1221 
Clay,2016,Democrat,844 
Colfax,2016,Democrat,2039 
Cuming,2016,Democrat,1243 
Custer,2016,Democrat,1445 
Dakota,2016,Democrat,4323 
Dawes,2016,Democrat,1324 
Dawson,2016,Democrat,3741 
Deuel,2016,Democrat,175 
Dixon,2016,Democrat,951 
Dodge,2016,Democrat,6292 
Douglas,2016,Democrat,133864 
Dundy,2016,Democrat,156 
Fillmore,2016,Democrat,1027 
Franklin,2016,Democrat,480 
Frontier,2016,Democrat,292 
Furnas,2016,Democrat,642 
Gage,2016,Democrat,4116 
Garden,2016,Democrat,219 
Garfield,2016,Democrat,193 
Gosper,2016,Democrat,244 
Grant,2016,Democrat,45 
Greeley,2016,Democrat,805 
Hall,2016,Democrat,9651 
Hamilton,2016,Democrat,1257 
Harlan,2016,Democrat,528 
Hayes,2016,Democrat,83 
Hitchcock,2016,Democrat,350 
Holt,2016,Democrat,1150 
Hooker,2016,Democrat,78 
Howard,2016,Democrat,1344 
Jefferson,2016,Democrat,1339 
Johnson,2016,Democrat,807 
Kearney,2016,Democrat,906 
Keith,2016,Democrat,1074 
Keya Paha,2016,Democrat,77 
Kimball,2016,Democrat,499 
Knox,2016,Democrat,1620 
Lancaster,2016,Democrat,68718 
Lincoln,2016,Democrat,5940 
Logan,2016,Democrat,71 
Loup,2016,Democrat,80 
Madison,2016,Democrat,4918 
McPherson,2016,Democrat,40 
Merrick,2016,Democrat,1004 
Morrill,2016,Democrat,592 
Nance,2016,Democrat,767 
Nemaha,2016,Democrat,1253 
Nuckolls,2016,Democrat,836 
Otoe,2016,Democrat,2806 
Pawnee,2016,Democrat,496 
Perkins,2016,Democrat,326 
Phelps,2016,Democrat,1043 
Pierce,2016,Democrat,764 
Platte,2016,Democrat,4917 
Polk,2016,Democrat,728 
Red Willow,2016,Democrat,1237 
Richardson,2016,Democrat,1756 
Rock,2016,Democrat,123 
Saline,2016,Democrat,3310 
Sarpy,2016,Democrat,29824 
Saunders,2016,Democrat,3949 
Scotts Bluff,2016,Democrat,6111 
Seward,2016,Democrat,2765 
Sheridan,2016,Democrat,676 
Sherman,2016,Democrat,831 
Sioux,2016,Democrat,110 
Stanton,2016,Democrat,757 
Thayer,2016,Democrat,870 
Thomas,2016,Democrat,46 
Thurston,2016,Democrat,2598 
Valley,2016,Democrat,736 
Washington,2016,Democrat,3211 
Wayne,2016,Democrat,1107 
Webster,2016,Democrat,570 
Wheeler,2016,Democrat,126 
York,2016,Democrat,1801 
Adams,2012,Democrat,5321 
Antelope,2012,Democrat,1054 
Arthur,2012,Democrat,44 
Banner,2012,Democrat,46 
Blaine,2012,Democrat,49 
Boone,2012,Democrat,1098 
Box Butte,2012,Democrat,2217 
Boyd,2012,Democrat,321 
Brown,2012,Democrat,328 
Buffalo,2012,Democrat,6561 
Burt,2012,Democrat,1603 
Butler,2012,Democrat,1972 
Cass,2012,Democrat,5027 
Cedar,2012,Democrat,2037 
Chase,2012,Democrat,451 
Cherry,2012,Democrat,729 
Cheyenne,2012,Democrat,1411 
Clay,2012,Democrat,964 
Colfax,2012,Democrat,2220 
Cuming,2012,Democrat,1418 
Custer,2012,Democrat,1754 
Dakota,2012,Democrat,4275 
Dawes,2012,Democrat,1384 
Dawson,2012,Democrat,3664 
Deuel,2012,Democrat,211 
Dixon,2012,Democrat,1225 
Dodge,2012,Democrat,6831 
Douglas,2012,Democrat,126902 
Dundy,2012,Democrat,195 
Fillmore,2012,Democrat,1204 
Franklin,2012,Democrat,573 
Frontier,2012,Democrat,363 
Furnas,2012,Democrat,756 
Gage,2012,Democrat,4576 
Garden,2012,Democrat,253 
Garfield,2012,Democrat,214 
Gosper,2012,Democrat,284 
Grant,2012,Democrat,50 
Greeley,2012,Democrat,963 
Hall,2012,Democrat,9586 
Hamilton,2012,Democrat,1412 
Harlan,2012,Democrat,624 
Hayes,2012,Democrat,106 
Hitchcock,2012,Democrat,451 
Holt,2012,Democrat,1420 
Hooker,2012,Democrat,95 
Howard,2012,Democrat,1520 
Jefferson,2012,Democrat,1580 
Johnson,2012,Democrat,969 
Kearney,2012,Democrat,1010 
Keith,2012,Democrat,1311 
Keya Paha,2012,Democrat,92 
Kimball,2012,Democrat,549 
Knox,2012,Democrat,1839 
Lancaster,2012,Democrat,66798 
Lincoln,2012,Democrat,6817 
Logan,2012,Democrat,91 
Loup,2012,Democrat,72 
Madison,2012,Democrat,5213 
McPherson,2012,Democrat,70 
Merrick,2012,Democrat,1159 
Morrill,2012,Democrat,668 
Nance,2012,Democrat,909 
Nemaha,2012,Democrat,1485 
Nuckolls,2012,Democrat,1010 
Otoe,2012,Democrat,3118 
Pawnee,2012,Democrat,582 
Perkins,2012,Democrat,414 
Phelps,2012,Democrat,1250 
Pierce,2012,Democrat,910 
Platte,2012,Democrat,5269 
Polk,2012,Democrat,839 
Red Willow,2012,Democrat,1552 
Richardson,2012,Democrat,2121 
Rock,2012,Democrat,144 
Saline,2012,Democrat,3573 
Sarpy,2012,Democrat,27893 
Saunders,2012,Democrat,4632 
Scotts Bluff,2012,Democrat,6616 
Seward,2012,Democrat,3113 
Sheridan,2012,Democrat,790 
Sherman,2012,Democrat,927 
Sioux,2012,Democrat,112 
Stanton,2012,Democrat,814 
Thayer,2012,Democrat,962 
Thomas,2012,Democrat,70 
Thurston,2012,Democrat,2548 
Valley,2012,Democrat,881 
Washington,2012,Democrat,3500 
Wayne,2012,Democrat,1150 
Webster,2012,Democrat,713 
Wheeler,2012,Democrat,153 
York,2012,Democrat,2025 
Adams,2008,Democrat,5944 
Antelope,2008,Democrat,1238 
Arthur,2008,Democrat,66 
Banner,2008,Democrat,62 
Blaine,2008,Democrat,74 
Boone,2008,Democrat,1203 
Box Butte,2008,Democrat,2485 
Boyd,2008,Democrat,395 
Brown,2008,Democrat,408 
Buffalo,2008,Democrat,7381 
Burt,2008,Democrat,1841 
Butler,2008,Democrat,2278 
Cass,2008,Democrat,5648 
Cedar,2008,Democrat,2472 
Chase,2008,Democrat,594 
Cherry,2008,Democrat,825 
Cheyenne,2008,Democrat,1659 
Clay,2008,Democrat,1170 
Colfax,2008,Democrat,2153 
Cuming,2008,Democrat,1608 
Custer,2008,Democrat,2010 
Dakota,2008,Democrat,4433 
Dawes,2008,Democrat,1483 
Dawson,2008,Democrat,3788 
Deuel,2008,Democrat,218 
Dixon,2008,Democrat,1361 
Dodge,2008,Democrat,7362 
Douglas,2008,Democrat,127420 
Dundy,2008,Democrat,262 
Fillmore,2008,Democrat,1315 
Franklin,2008,Democrat,659 
Frontier,2008,Democrat,407 
Furnas,2008,Democrat,835 
Gage,2008,Democrat,5558 
Garden,2008,Democrat,281 
Garfield,2008,Democrat,264 
Gosper,2008,Democrat,328 
Grant,2008,Democrat,70 
Greeley,2008,Democrat,1029 
Hall,2008,Democrat,10183 
Hamilton,2008,Democrat,1640 
Harlan,2008,Democrat,718 
Hayes,2008,Democrat,124 
Hitchcock,2008,Democrat,542 
Holt,2008,Democrat,1590 
Hooker,2008,Democrat,95 
Howard,2008,Democrat,1711 
Jefferson,2008,Democrat,1831 
Johnson,2008,Democrat,1115 
Kearney,2008,Democrat,1150 
Keith,2008,Democrat,1465 
Keya Paha,2008,Democrat,99 
Kimball,2008,Democrat,636 
Knox,2008,Democrat,2133 
Lancaster,2008,Democrat,68661 
Lincoln,2008,Democrat,7598 
Logan,2008,Democrat,99 
Loup,2008,Democrat,78 
Madison,2008,Democrat,5672 
McPherson,2008,Democrat,77 
Merrick,2008,Democrat,1482 
Morrill,2008,Democrat,823 
Nance,2008,Democrat,1022 
Nemaha,2008,Democrat,1710 
Nuckolls,2008,Democrat,1163 
Otoe,2008,Democrat,3462 
Pawnee,2008,Democrat,659 
Perkins,2008,Democrat,505 
Phelps,2008,Democrat,1440 
Pierce,2008,Democrat,1083 
Platte,2008,Democrat,5966 
Polk,2008,Democrat,980 
Red Willow,2008,Democrat,1830 
Richardson,2008,Democrat,2313 
Rock,2008,Democrat,185 
Saline,2008,Democrat,3940 
Sarpy,2008,Democrat,27373 
Saunders,2008,Democrat,5161 
Scotts Bluff,2008,Democrat,7042 
Seward,2008,Democrat,3390 
Sheridan,2008,Democrat,920 
Sherman,2008,Democrat,1064 
Sioux,2008,Democrat,138 
Stanton,2008,Democrat,856 
Thayer,2008,Democrat,1187 
Thomas,2008,Democrat,75 
Thurston,2008,Democrat,2573 
Valley,2008,Democrat,1013 
Washington,2008,Democrat,3750 
Wayne,2008,Democrat,1325 
Webster,2008,Democrat,808 
Wheeler,2008,Democrat,149 
York,2008,Democrat,2277 
Adams,2004,Democrat,6441 
Antelope,2004,Democrat,1305 
Arthur,2004,Democrat,60 
Banner,2004,Democrat,53 
Blaine,2004,Democrat,59 
Boone,2004,Democrat,1304 
Box Butte,2004,Democrat,3043 
Boyd,2004,Democrat,476 
Brown,2004,Democrat,474 
Buffalo,2004,Democrat,7316 
Burt,2004,Democrat,1977 
Butler,2004,Democrat,2717 
Cass,2004,Democrat,5869 
Cedar,2004,Democrat,2719 
Chase,2004,Democrat,753 
Cherry,2004,Democrat,1013 
Cheyenne,2004,Democrat,1674 
Clay,2004,Democrat,1333 
Colfax,2004,Democrat,2441 
Cuming,2004,Democrat,1792 
Custer,2004,Democrat,2174 
Dakota,2004,Democrat,4209 
Dawes,2004,Democrat,1358 
Dawson,2004,Democrat,3808 
Deuel,2004,Democrat,226 
Dixon,2004,Democrat,1438 
Dodge,2004,Democrat,7487 
Douglas,2004,Democrat,124900 
Dundy,2004,Democrat,305 
Fillmore,2004,Democrat,1493 
Franklin,2004,Democrat,714 
Frontier,2004,Democrat,457 
Furnas,2004,Democrat,1039 
Gage,2004,Democrat,5913 
Garden,2004,Democrat,292 
Garfield,2004,Democrat,260 
Gosper,2004,Democrat,356 
Grant,2004,Democrat,88 
Greeley,2004,Democrat,1072 
Hall,2004,Democrat,10500 
Hamilton,2004,Democrat,1712 
Harlan,2004,Democrat,800 
Hayes,2004,Democrat,152 
Hitchcock,2004,Democrat,590 
Holt,2004,Democrat,1974 
Hooker,2004,Democrat,88 
Howard,2004,Democrat,1872 
Jefferson,2004,Democrat,2014 
Johnson,2004,Democrat,1231 
Kearney,2004,Democrat,1302 
Keith,2004,Democrat,1546 
Keya Paha,2004,Democrat,145 
Kimball,2004,Democrat,644 
Knox,2004,Democrat,2309 
Lancaster,2004,Democrat,65353 
Lincoln,2004,Democrat,8806 
Logan,2004,Democrat,98 
Loup,2004,Democrat,91 
Madison,2004,Democrat,5803 
McPherson,2004,Democrat,77 
Merrick,2004,Democrat,1707 
Morrill,2004,Democrat,845 
Nance,2004,Democrat,1070 
Nemaha,2004,Democrat,1730 
Nuckolls,2004,Democrat,1327 
Otoe,2004,Democrat,3636 
Pawnee,2004,Democrat,781 
Perkins,2004,Democrat,612 
Phelps,2004,Democrat,1673 
Pierce,2004,Democrat,1247 
Platte,2004,Democrat,6354 
Polk,2004,Democrat,1051 
Red Willow,2004,Democrat,2034 
Richardson,2004,Democrat,2565 
Rock,2004,Democrat,212 
Saline,2004,Democrat,4286 
Sarpy,2004,Democrat,25043 
Saunders,2004,Democrat,5349 
Scotts Bluff,2004,Democrat,7153 
Seward,2004,Democrat,3552 
Sheridan,2004,Democrat,1010 
Sherman,2004,Democrat,1022 
Sioux,2004,Democrat,194 
Stanton,2004,Democrat,904 
Thayer,2004,Democrat,1298 
Thomas,2004,Democrat,86 
Thurston,2004,Democrat,2730 
Valley,2004,Democrat,1170 
Washington,2004,Democrat,3508 
Wayne,2004,Democrat,1640 
Webster,2004,Democrat,901 
Wheeler,2004,Democrat,167 
York,2004,Democrat,2392 
Adams,2000,Democrat,6336 
Antelope,2000,Democrat,1454 
Arthur,2000,Democrat,65 
Banner,2000,Democrat,84 
Blaine,2000,Democrat,76 
Boone,2000,Democrat,1437 
Box Butte,2000,Democrat,3156 
Boyd,2000,Democrat,548 
Brown,2000,Democrat,465 
Buffalo,2000,Democrat,7807 
Burt,2000,Democrat,2030 
Butler,2000,Democrat,2950 
Cass,2000,Democrat,5813 
Cedar,2000,Democrat,2870 
Chase,2000,Democrat,837 
Cherry,2000,Democrat,1068 
Cheyenne,2000,Democrat,1879 
Clay,2000,Democrat,1412 
Colfax,2000,Democrat,2523 
Cuming,2000,Democrat,1877 
Custer,2000,Democrat,2310 
Dakota,2000,Democrat,3887 
Dawes,2000,Democrat,1384 
Dawson,2000,Democrat,3759 
Deuel,2000,Democrat,260 
Dixon,2000,Democrat,1471 
Dodge,2000,Democrat,7771 
Douglas,2000,Democrat,117169 
Dundy,2000,Democrat,340 
Fillmore,2000,Democrat,1632 
Franklin,2000,Democrat,803 
Frontier,2000,Democrat,477 
Furnas,2000,Democrat,1180 
Gage,2000,Democrat,5787 
Garden,2000,Democrat,336 
Garfield,2000,Democrat,311 
Gosper,2000,Democrat,430 
Grant,2000,Democrat,92 
Greeley,2000,Democrat,1188 
Hall,2000,Democrat,10573 
Hamilton,2000,Democrat,1664 
Harlan,2000,Democrat,890 
Hayes,2000,Democrat,151 
Hitchcock,2000,Democrat,630 
Holt,2000,Democrat,2248 
Hooker,2000,Democrat,111 
Howard,2000,Democrat,1965 
